supplysector,subsector0,subsector,year,input.OM.var,OM.var,intermittent.technology
elect_td_bld,rooftop_pv,rooftop_pv,2100,OM-var,0,rooftop_pv
intermediate generation,solar,CSP_int,1975,OM-var,0.98,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,1990,OM-var,0.98,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2005,OM-var,0.98,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2010,OM-var,0.98,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2015,OM-var,0.98,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2021,OM-var,0.79,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2025,OM-var,0.72,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2030,OM-var,0.6,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2035,OM-var,0.6,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2040,OM-var,0.6,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2045,OM-var,0.6,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2050,OM-var,0.6,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2055,OM-var,0.6,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2060,OM-var,0.59,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2065,OM-var,0.59,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2070,OM-var,0.59,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2075,OM-var,0.59,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2080,OM-var,0.58,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2085,OM-var,0.58,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2090,OM-var,0.58,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2095,OM-var,0.57,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,2100,OM-var,0.57,CSP_int (dry_hybrid)
intermediate generation,solar,CSP_int,1975,OM-var,0.98,CSP_int (recirculating)
intermediate generation,solar,CSP_int,1990,OM-var,0.98,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2005,OM-var,0.98,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2010,OM-var,0.98,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2015,OM-var,0.98,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2021,OM-var,0.79,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2025,OM-var,0.72,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2030,OM-var,0.6,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2035,OM-var,0.6,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2040,OM-var,0.6,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2045,OM-var,0.6,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2050,OM-var,0.6,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2055,OM-var,0.6,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2060,OM-var,0.59,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2065,OM-var,0.59,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2070,OM-var,0.59,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2075,OM-var,0.59,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2080,OM-var,0.58,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2085,OM-var,0.58,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2090,OM-var,0.58,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2095,OM-var,0.57,CSP_int (recirculating)
intermediate generation,solar,CSP_int,2100,OM-var,0.57,CSP_int (recirculating)
intermediate generation,solar,PV_int,1975,OM-var,0,PV_int
intermediate generation,solar,PV_int,1990,OM-var,0,PV_int
intermediate generation,solar,PV_int,2005,OM-var,0,PV_int
intermediate generation,solar,PV_int,2010,OM-var,0,PV_int
intermediate generation,solar,PV_int,2015,OM-var,0,PV_int
intermediate generation,solar,PV_int,2021,OM-var,0,PV_int
intermediate generation,solar,PV_int,2025,OM-var,0,PV_int
intermediate generation,solar,PV_int,2030,OM-var,0,PV_int
intermediate generation,solar,PV_int,2035,OM-var,0,PV_int
intermediate generation,solar,PV_int,2040,OM-var,0,PV_int
intermediate generation,solar,PV_int,2045,OM-var,0,PV_int
intermediate generation,solar,PV_int,2050,OM-var,0,PV_int
intermediate generation,solar,PV_int,2055,OM-var,0,PV_int
intermediate generation,solar,PV_int,2060,OM-var,0,PV_int
intermediate generation,solar,PV_int,2065,OM-var,0,PV_int
intermediate generation,solar,PV_int,2070,OM-var,0,PV_int
intermediate generation,solar,PV_int,2075,OM-var,0,PV_int
intermediate generation,solar,PV_int,2080,OM-var,0,PV_int
intermediate generation,solar,PV_int,2085,OM-var,0,PV_int
intermediate generation,solar,PV_int,2090,OM-var,0,PV_int
intermediate generation,solar,PV_int,2095,OM-var,0,PV_int
intermediate generation,solar,PV_int,2100,OM-var,0,PV_int
intermediate generation,wind,wind_int,1975,OM-var,0,wind_int
intermediate generation,wind,wind_int,1990,OM-var,0,wind_int
intermediate generation,wind,wind_int,2005,OM-var,0,wind_int
intermediate generation,wind,wind_int,2010,OM-var,0,wind_int
intermediate generation,wind,wind_int,2015,OM-var,0,wind_int
intermediate generation,wind,wind_int,2021,OM-var,0,wind_int
intermediate generation,wind,wind_int,2025,OM-var,0,wind_int
intermediate generation,wind,wind_int,2030,OM-var,0,wind_int
intermediate generation,wind,wind_int,2035,OM-var,0,wind_int
intermediate generation,wind,wind_int,2040,OM-var,0,wind_int
intermediate generation,wind,wind_int,2045,OM-var,0,wind_int
intermediate generation,wind,wind_int,2050,OM-var,0,wind_int
intermediate generation,wind,wind_int,2055,OM-var,0,wind_int
intermediate generation,wind,wind_int,2060,OM-var,0,wind_int
intermediate generation,wind,wind_int,2065,OM-var,0,wind_int
intermediate generation,wind,wind_int,2070,OM-var,0,wind_int
intermediate generation,wind,wind_int,2075,OM-var,0,wind_int
intermediate generation,wind,wind_int,2080,OM-var,0,wind_int
intermediate generation,wind,wind_int,2085,OM-var,0,wind_int
intermediate generation,wind,wind_int,2090,OM-var,0,wind_int
intermediate generation,wind,wind_int,2095,OM-var,0,wind_int
intermediate generation,wind,wind_int,2100,OM-var,0,wind_int
peak generation,solar,CSP_peak,1975,OM-var,0.98,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,1990,OM-var,0.98,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,2005,OM-var,0.98,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,2010,OM-var,0.98,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,2015,OM-var,0.98,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,2021,OM-var,0.79,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,2025,OM-var,0.72,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,2030,OM-var,0.6,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,2035,OM-var,0.6,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,2040,OM-var,0.6,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,2045,OM-var,0.6,CSP_peak (dry_hybrid)
peak generation,solar,CSP_peak,2050,OM-var,0.6,CSP_peak (dry_hybrid)
