sector.name,subsector.name0,subsector.name,year,input.OM.var,OM.var,technology
base load generation,coal,coal_base_conv pul 1956-1960,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1956-1960,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1956-1960,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1956-1960,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1961-1965,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1961-1965,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1961-1965,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1961-1965,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1961-1965,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1966-1970,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1966-1970,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1966-1970,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1966-1970,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1966-1970,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1971-1975,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1971-1975,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1971-1975,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1971-1975,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1971-1975,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1976-1980,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1976-1980,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1976-1980,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1976-1980,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1976-1980,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1981-1985,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1981-1985,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1981-1985,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1981-1985,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1981-1985,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1986-1990,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1986-1990,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1986-1990,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1986-1990,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1986-1990,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1991-1995,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1991-1995,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1991-1995,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1991-1995,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1991-1995,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1996-2000,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1996-2000,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1996-2000,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1996-2000,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1996-2000,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2001-2005,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2001-2005,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2001-2005,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2001-2005,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2001-2005,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2006-2010,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2006-2010,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2006-2010,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2006-2010,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2006-2010,1975,OM-var,2.12,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2011-2015,1975,OM-var,2.12,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2011-2015,1975,OM-var,2.12,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2011-2015,1975,OM-var,2.12,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2011-2015,1975,OM-var,2.12,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2011-2015,1975,OM-var,2.12,coal (conv pul) (dry cooling)
