sector.name,subsector.name0,subsector.name,year,input.OM.fixed,OM.fixed,technology
base load generation,coal,coal_base_IGCC,2035,OM-fixed,37.66,coal (IGCC) (seawater)
base load generation,coal,coal_base_IGCC,2035,OM-fixed,37.66,coal (IGCC) (recirculating)
base load generation,coal,coal_base_IGCC,2035,OM-fixed,37.66,coal (IGCC) (dry cooling)
base load generation,coal,coal_base_IGCC_CCS,2035,OM-fixed,53.23,coal (IGCC CCS) (once through)
base load generation,coal,coal_base_IGCC_CCS,2035,OM-fixed,53.23,coal (IGCC CCS) (seawater)
base load generation,coal,coal_base_IGCC_CCS,2035,OM-fixed,53.23,coal (IGCC CCS) (recirculating)
base load generation,coal,coal_base_IGCC_CCS,2035,OM-fixed,53.23,coal (IGCC CCS) (dry cooling)
base load generation,gas,gas_base_CC,2035,OM-fixed,7.09,gas (CC) (once through)
base load generation,gas,gas_base_CC,2035,OM-fixed,7.09,gas (CC) (seawater)
base load generation,gas,gas_base_CC,2035,OM-fixed,7.09,gas (CC) (recirculating)
base load generation,gas,gas_base_CC,2035,OM-fixed,7.09,gas (CC) (cooling pond)
base load generation,gas,gas_base_CC,2035,OM-fixed,7.09,gas (CC) (dry cooling)
base load generation,gas,gas_base_CC_CCS,2035,OM-fixed,12.44,gas (CC CCS) (once through)
base load generation,gas,gas_base_CC_CCS,2035,OM-fixed,12.44,gas (CC CCS) (seawater)
base load generation,gas,gas_base_CC_CCS,2035,OM-fixed,12.44,gas (CC CCS) (recirculating)
base load generation,gas,gas_base_CC_CCS,2035,OM-fixed,12.44,gas (CC CCS) (dry cooling)
base load generation,geothermal,geo_base,2035,OM-fixed,26.47,geothermal (recirculating)
base load generation,geothermal,geo_base,2035,OM-fixed,26.47,geothermal (dry_hybrid)
base load generation,nuclear,nuc_base_Gen II,2035,OM-fixed,41.24,Gen_II_LWR (once through)
base load generation,nuclear,nuc_base_Gen II,2035,OM-fixed,41.24,Gen_II_LWR (seawater)
base load generation,nuclear,nuc_base_Gen II,2035,OM-fixed,41.24,Gen_II_LWR (recirculating)
base load generation,nuclear,nuc_base_Gen II,2035,OM-fixed,41.24,Gen_II_LWR (cooling pond)
base load generation,nuclear,nuc_base_large reactor,2035,OM-fixed,41.24,large reactor (once through)
base load generation,nuclear,nuc_base_large reactor,2035,OM-fixed,41.24,large reactor (seawater)
base load generation,nuclear,nuc_base_large reactor,2035,OM-fixed,41.24,large reactor (recirculating)
base load generation,nuclear,nuc_base_large reactor,2035,OM-fixed,41.24,large reactor (cooling pond)
base load generation,nuclear,nuc_base_SMR,2035,OM-fixed,32.05,SMR (once through)
base load generation,nuclear,nuc_base_SMR,2035,OM-fixed,32.05,SMR (seawater)
base load generation,nuclear,nuc_base_SMR,2035,OM-fixed,32.05,SMR (recirculating)
base load generation,nuclear,nuc_base_SMR,2035,OM-fixed,32.05,SMR (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,2035,OM-fixed,5.7,refined liquids (steam/CT) (once through)
base load generation,refined liquids,refined liquids_base_steam/CT,2035,OM-fixed,5.7,refined liquids (steam/CT) (seawater)
base load generation,refined liquids,refined liquids_base_steam/CT,2035,OM-fixed,5.7,refined liquids (steam/CT) (recirculating)
base load generation,refined liquids,refined liquids_base_steam/CT,2035,OM-fixed,5.7,refined liquids (steam/CT) (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,2035,OM-fixed,5.7,refined liquids (steam/CT) (dry cooling)
base load generation,refined liquids,refined liquids_base_CC,2035,OM-fixed,7.09,refined liquids (CC) (once through)
base load generation,refined liquids,refined liquids_base_CC,2035,OM-fixed,7.09,refined liquids (CC) (seawater)
base load generation,refined liquids,refined liquids_base_CC,2035,OM-fixed,7.09,refined liquids (CC) (recirculating)
base load generation,refined liquids,refined liquids_base_CC,2035,OM-fixed,7.09,refined liquids (CC) (dry cooling)
base load generation,refined liquids,refined liquids_base_CC_CCS,2035,OM-fixed,12.44,refined liquids (CC CCS) (once through)
base load generation,refined liquids,refined liquids_base_CC_CCS,2035,OM-fixed,12.44,refined liquids (CC CCS) (seawater)
base load generation,refined liquids,refined liquids_base_CC_CCS,2035,OM-fixed,12.44,refined liquids (CC CCS) (recirculating)
base load generation,refined liquids,refined liquids_base_CC_CCS,2035,OM-fixed,12.44,refined liquids (CC CCS) (dry cooling)
base load generation,solar,PV_base_storage,2035,OM-fixed,24.75,PV_base_storage
base load generation,solar,CSP_base_storage,2035,OM-fixed,12.78,CSP_base_storage
base load generation,wind,wind_base_storage,2035,OM-fixed,27.87,wind_base_storage
base load generation,coal,coal_base_conv pul 1951-1955,2035,OM-fixed,19.13,coal (conv pul) (once through)
