supplysector,subsector.name0,subsector.name,year,lifetime,steepness,half.life,technology
subpeak generation,gas,gas_subpeak_steam/CT,2021,45,0.1,22.5,gas (steam/CT) (recirculating)
subpeak generation,gas,gas_subpeak_steam/CT,2021,45,0.1,22.5,gas (steam/CT) (cooling pond)
subpeak generation,gas,gas_subpeak_steam/CT,2021,45,0.1,22.5,gas (steam/CT) (dry cooling)
subpeak generation,gas,gas_subpeak_CC,2021,45,0.1,22.5,gas (CC) (once through)
subpeak generation,gas,gas_subpeak_CC,2021,45,0.1,22.5,gas (CC) (seawater)
subpeak generation,gas,gas_subpeak_CC,2021,45,0.1,22.5,gas (CC) (recirculating)
subpeak generation,gas,gas_subpeak_CC,2021,45,0.1,22.5,gas (CC) (cooling pond)
subpeak generation,gas,gas_subpeak_CC,2021,45,0.1,22.5,gas (CC) (dry cooling)
subpeak generation,refined liquids,refined liquids_subpeak_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (once through)
subpeak generation,refined liquids,refined liquids_subpeak_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (seawater)
subpeak generation,refined liquids,refined liquids_subpeak_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (recirculating)
subpeak generation,refined liquids,refined liquids_subpeak_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (cooling pond)
subpeak generation,refined liquids,refined liquids_subpeak_steam/CT,2021,45,0.1,22.5,refined liquids (steam/CT) (dry cooling)
